Marker,Score,Cycle,Channel
CD4,0.7700369262695312,16,1
PanCK,0.7641259002685546,14,1
CD68,0.5830179977416993,12,1
E-CAD,0.5698467254638672,23,1
CD21,0.5684592819213867,15,1
CD3e,0.5579443359375,8,1
CD107a,0.5549073791503907,24,1
CD20,0.5524886703491211,6,1
Actin,0.5391930770874024,10,1
CD44,0.5320257568359374,27,1
CD8,0.5264805221557617,3,1
CD31,0.5090855407714844,2,1
HistoneH3,0.38954978942871094,28,1
Podoplanin,0.3569801330566406,11,1
CD11c,0.1803127098083496,20,1
Ki67,0.17217960357666015,7,1
CD45,0.1144558334350586,4,1
CD45RO,0.10690600395202637,19,1
